 10;		0.06;		True;		False;		;15;		1;		None
 1;		0.41;		True;		False;		;15;		1;		None
 20;		0.41;		True;		False;		;15;		1;		None
 22;		0.38;		True;		False;		;15;		1;		None
 25;		0.07;		True;		False;		;15;		1;		None
 31;		0.11;		True;		False;		;15;		1;		None
 32;		2.27;		False;		False;		;18;		1;		None
 34;		0.08;		True;		False;		;15;		1;		None
 4;		0.04;		True;		False;		;15;		1;		None
 7;		0.05;		True;		False;		;15;		1;		None
 10;		0.05;		True;		False;		;15;		1;		None
 1;		0.38;		True;		False;		;15;		1;		None
 20;		0.39;		True;		False;		;15;		1;		None
 22;		0.38;		True;		False;		;15;		1;		None
 25;		0.06;		True;		False;		;15;		1;		None
 31;		0.10;		True;		False;		;15;		1;		None
 32;		2.32;		False;		False;		;18;		1;		None
 34;		0.07;		True;		False;		;15;		1;		None
 4;		0.04;		True;		False;		;15;		1;		None
 7;		0.04;		True;		False;		;15;		1;		None
